,Ten,Hinh,Gia,MoTa,TheLoai,YeuThich
11,Trầm 6 cánh hàng đài,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/6-canh/tram-6-canh-3-1.jpg,400000,"Cây mô năm 2 nên rất khỏe, các thân non phát triển mạnh. Hoa 6 cánh, sắc độ màu tím hoặc đỏ khác nhau.",V?n Ph�Eng,
12,Giả hạc đại bạch long,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/gia-hac/dai-bach-long-3-1.jpg,220000,Đây là loại lan nổi tiếng với chiều dài và mặt hoa đẹp của đài loan. Cây có hoa trắng và chiều dài khủng nên hoàn toàn xứng đáng với tên đại bạch long,Sinh Nh?t,
13,Giả hạc 4N,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/gia-hac/gia-hac-4n-3-1.jpg,260000,"Đặc điểm giả hạc 4N bông to, rất sai hoa, màu hoa đậm, thơm. Thân cây to phát triển rất nhanh, lá tròn tròn rất đẹp. ",T?ng M?,
14,Trầm 6 mắt,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/6-mat/tram-6-mat-4-1.jpg,240000,"Có nhiều mặt, hoa các bông có mắt đạm, nhạt, to nhỏ khác nhau. Các bông chuẩn có giá trị cao là bông có đủ 6 mắt đậm và kích thước các mắt đồng đều.",Gia ?�Enh,
15,Giả hạc hồng búp bê,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/gia-hac/hong-bup-be/anh-nho-hoa-gia-hac-hong-bup-be.jpg,320000,"Giả hạc hồng búp bê, cây đẹp mà hoa lại càng đẹp hơn, có nét giống sao thiên vương nhưng nhẹ nhàng, tinh tế hơn. Đây là một giống giả hạc mới của Đài Loan. [Cây to, Hoa mùa tới]",?am M�E Huy?n B�E,
16,Trầm Thanh Hoa cánh ám,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/thanh-hoa/anh-nho-hinh-hoa-tram-thanh-hoa.jpg,350000,Bông trầm này là sự kết hợp của loại trầm thanh hoa nổi tiếng và trầm ám mắt nai. Mặc dù là cây lai nhưng đã cho hoa ổn định năm trước,20/11,
17,Trầm tím trồng vườn đã lâu,https://hoalanhuyanh.com/userfiles/image/gio-lan/tram-tim/thuan-lau/hinh-hoa-tram-tim.jpg,300000,"Trầm tím trồng gỗ hoặc chậu nhữa, dễ dàng ghép giá thể mới, nhiều ngọn dài, tất cả đều trên 3 năm. Năm nào cũng sai hoa, cây rất khỏe, dễ chăm",T?ng M?,
18,Trầm 5 cánh trắng mắt hồng ngọc,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/5-ct/hong-ngoc/anh-nho-hinh-hoa-5-ct-mat-hong-ngoc.jpg,380000,Bông trầm 5 cánh trắng mắt hồng ngọc có phom hoa tương tự như 5 cánh trắng mắt đỏ hay 5 cánh trắng blue nhưng nhìn kỹ sẽ thấy mắt có sự khác biệt,Sinh Nh?t,
19,Trầm ám mắt tím đậm,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/am-mat-tim/anh-nho-hoa-mau-dai-loan-sai-hoa.jpg,350000,"Cánh rất sạch chỉ dính chút ít vệt màu rất khó thấy, cánh bầu đẹp, đặc biệt mắt tím đậm. Có 2 loại đã xổ hoa và chưa xổ hoa, loại trầm này rất sai hoa.",T?ng M?,
20,Trầm tím lai Hawaii tím,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/tram-lai-hawaii/anh-nho-hinh-hoa-tham-khao.jpg,220000,"Trầm tím có phom hoa đẹp hương thơm nồng nàn, trong khi đó Hawaii cũng rất thơm bông hơi rủ nhưng lại to. Không biết 2 loại này sẽ ra hương như nào? Các bác có hóng cùng em không?",T?ng M?,
21,Hawai lá biên,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/hawai-la-bien-1.jpg,240000,"Giả hạc hawai loại lá biên, hoa màu tím đậm rất đẹp. Cây đang dài khoảng 35 cm - 40cm. Biên cả viền lá nhé, chắc chắn là nổi bật. ",T�Enh Y�Eu,
22,Trầm lai vôi nhật,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/tramxvoinhat/tram-lai-voi-nhat-1-1.jpg,230000,Hàng lai nhưng có mặt bông rồi ah. Hoa thơm rất sai hoa và cực ấn tượng. Cây ghép bảng gỗ rất khỏe.,Gia ?�Enh,
23,Chớp mỹ gieo hạt,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/chop/chop-my-gieo-het-2-1.jpg,450000,"2 bông chớp đẹp lai, hoa sổ xố, hàng gieo hạt đài loan. Cây đang phát triển rất đẹp, đủ tuổi hoa mùa tới. Hoa xổ nhưng chắc chắn ra chớp, chỉ là không chắc chắn sắc độ của chớp.",S? Ki?n,
24,Super thrive thuốc tưới lan,https://hoalanhuyanh.com/userfiles/image/vat-tu/thuoc/thuoc-cho-lan-super-thrive-1-1.jpg,250000,"Super thrive  Loại thuốc dành cho lan hiệu quả không thể phủ nhận, hàng xách tay mỹ. Cực kỳ đậm đặc gấp 3.4 lần so với các loại thuốc khác",T?ng M?,
25,Trầm đỏ lai trầm 6 mắt,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/6mat-do/tram-6mat-do-1-1.jpg,230000,"Được lai tạo từ 2 bông trầm tuyệt đẹp là trầm đỏ bông đậm và trầm 6 mắt độc đáo. Cây khỏe, mập ra hoa vào năm tới.",Sinh Nh?t,
26,Đai châu cây đôi to,https://hoalanhuyanh.com/userfiles/image/gio-lan/dai-chau/trang/chau-trang-cay-doi-1-1.jpg,1100000,"Bán chậu đai châu trắng lá đẹp, có video quay chi tiết chậu cây. Gồm 2 cây 5 cặp lá và 9 cặp lá, đang nụ ",T?ng M?,
27,Giả hạc châu như,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/gia-hac/chau-nhu/gia-hac-chau-nhu-gieo-hat-3-1.jpg,160000,"Không phải chỉ có một mặt bông duy nhất, đã có từ rất lâu, đến giờ vẫn có những bông châu như mới, là một trong số ít giả hạc lai đẹp của việt nam được đài loan mua lại để nhân giống",T?ng M?,
28,Phi điệp 6 mắt Thái Bình,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/pd-6-mat-thai-binh/phi-diep-6-mat-thai-binh-hinh-hoa-anh-nho.jpg,1400000,"Bán kei phi điệp 6 mắt Thái Bình, mặt hoa đẹp, đang bắt đầu ra rễ. Năm nay chỉ nhân được ít kei thôi, bác nào yêu liên hệ trực tiếp",Gia ?�Enh,
29,"Đai châu trụ gỗ, đã thuần rất lâu",https://hoalanhuyanh.com/userfiles/image/gio-lan/dai-chau/tru-go/anh-nho-dai-chau-ghep-tru-go-cay-to-dep.jpg,2500000,"Mỗi trụ có 9,10 ngọn hàng rừng nên chỉ có 2 màu đỏ trắng và tím trắng, đã ra hoa các mùa trước. Cây to, lá dầy, dài đẹp. Bộ rễ rất phát triển",T?ng M?,
30,Ngọc điểm hoa sổ xố,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/dai-chau-thai/anh-nho-dai-chau-hoa-xo-4.jpg,150000,"Lan đai châu hay lan Ngọc điểm hoa sổ xố nhiều màu đẹp, cây đơn trồng chậu nhựa rất đẹp. Cỡ cây trung có thể hoa tết (một số cây đã nứt vòi hoa) hàng thái.",Khai Tr??ng,
31,Trầm cửu long,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/tram-cuu-long-1-1.jpg,150000,"Trầm cửu long hoa đẹp hương thơm, cánh tím họng đậm, bông to. Thân mập ú, đang phát triển mạnh, cây đã trồng thuần nhiều năm tại vườn.",T?ng M?,
32,Giả hạc Hawaii lai phi điệp,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/gia-hac-lai/hawaii-phi-diep-tim-1-1.jpg,240000,"Thân dài, to phát triển nhanh, hoa to là những đặc điểm của cặp lai Hawaii và phi điệp này. Cây ghép gỗ đang phát triển rất đẹp",T�Enh Y�Eu,
33,Hải yến lai vanda,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/haiyen-vanda/hai-en-lai-vanda-2-1.jpg,180000,"Hải yến lai vanda cho ra màu hoa đẹp, hoa 2 đến 3 lần 1 năm. Cây rất dễ trồng đã trưởng thành hầu hết đang nụ. Loại phong lan này phù hợp để trang trí nhà, sân vườn bởi chúng có màu sắc rực rỡ, dễ ra hoa, chăm sóc dễ dàng. ",Sinh Nh?t,
34,Sumo  dưỡng béo thân cây lan,https://hoalanhuyanh.com/userfiles/image/vat-tu/thuoc/sumo/anh-nho-sumo-6-30-30.jpg,90000,"Trước khi cắt nước  thân cây cần khỏe mạnh, thân béo (to) để dự trữ dinh dưỡng trong thời gian cắt nước, SUMO thuốc dưỡng lan 6-30-30 sẽ là lựa chọn hiệu quả.",Gia ?�Enh,
35,Phi điệp ám phú thọ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/am-phu-tho/anh-nho-hoa-am-phu-tho.jpg,1500000,"Bán phi điệp cánh ám phú thọ, mặt hoa như hình, bán đứt gốc [cả chậu] đang có mầm non, cây đẹp, khỏe, ngọn dài. Chắc chắn năm sau sẽ sai hoa hơn.",T?ng M?,
36,Chậu đai châu thuần 1 năm,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/dai-chau-thai/dai-chau-thuan-1-nam-1.jpg,250000,"Cây thuần 1 năm, nhận đặt lan đai châu đúng quy cách theo yêu cầu khách hàng",Thanh Cao,
37,"Ngọc điểm vàng, hồng đốm",https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/ngoc-diem-vang-hong-dom-1-1.jpg,200000,,Sinh Nh?t,
38,Đai châu 2 ngọn loại nhỏ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/dai-chau-2-ngo-nho-1.png,160000,Cây đã được ghép gỗ các bác chỉ việc mang về chăm nhé. Cây nhỏ xinh xắn giá cũng rất đẹp cho loại 2 ngọn,T�Enh Y�Eu,
39,Tam bảo sắc vàng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/giang-huong/tam-bao-sac/tam-bao-sac-hoa-vang-2-1.jpg,260000,"Tam bảo sắc vàng là loại lan rừng đột biến rất đẹp, thơm tuy nhiên giá rất cao. Vì thế hàng thái cây mô đang là lựa chọn hàng đầu của các bác muốn sưu tầm dòng giáng hương đẹp này",20/11,
40,Jacky xanh lá trơn,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-hai/lan-hai-jacki-xanh-la-tron-1.jpg,300000,"Cây to, đẹp, đặc biệt với lá trơn. Hoa màu xanh được đánh giá là một trong các loại lan hài đẹp và quý hiếm của việt nam",Khai Tr??ng,
41,Chậu hawaii trắng,https://hoalanhuyanh.com/userfiles/image/gio-lan/hawaii/gia-hac-hawaii-trang-1-1.jpg,800000,"Chậu có 5 ngọn đang phát triển mạnh, trồng trong chậu gốm. Cây rất đẹp và khỏe",T�Enh Y�Eu,
42,Vôi lùn,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/voi/hoang-thao-voi-lun-1-1.jpg,150000,"Hoàng thảo vôi lùn cây đẹp, đang trồng chậu, đốt ngắn, thâm múp míp. Cây năm 2, hoa cũng như vôi rừng thôi ah.",T�Enh Y�Eu,
43,Dendro chớp cây nhỏ xinh,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/vanda-dendro/dendro-chop-1-1.jpg,80000,"Dendro chớp cây nhỏ  dáng xinh, đang bám gỗ. Cây dòng mini nhưng rất dễ trồng, hoa đẹp và lạ, khác biệt, có hoa vào cuối mùa hè. Hoa như hình.",T�Enh Y�Eu,
44,Kiếm xích ngọc hoa trắng,https://hoalanhuyanh.com/userfiles/image/gio-lan/kiem/kiem-xich-ngoc-trang-3-1.jpg,350000,"Bán chậu xích ngọn hoa trắng tuyệt đẹp, em bán cả chậu nên giá rất rẻ, mời các bác yêu dòng lan này nhé.",T?ng M?,
45,Thiên nga xanh,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/thien-nga-xanh-1-1.jpg,250000,"Bán cây thiên nga đang rất đẹp, hoa xanh. Đã được trồng thuần tại vườn, hoa có hương thơm dịu. Giá bán rẻ cho dòng thiên nga đã được trồng thuần. Đang trồng trong giá thể mùn dừa, phát triển rất tốt.Các bác chú ý : Giá lan thiên nga ngoài kích thước, màu sắc, còn phụ thuộc vào thời gian trồng thuần tại vườn nhé. Ví dụ cùng kích thước nhưng cây mới nhập sẽ có giá rẻ hơn cây trồng thuần.",T�Enh Y�Eu,
46,Trầm tím ghép bảng gỗ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/tram-tim-3-1.jpg,180000,"Lan trầm tím - Thân mập mạp đã thuần trên 2 năm, rễ bám chắc bảng gỗ, hoa rất thơm, mùa hoa tháng 2 , 3 âm lịch. Đây là loại lan rất thơm, có hoa màu tím trong tự nhiên trầm tím chỉ có ở Lào, nhưng rất phù hợp khi được trồng tại Việt nam. Trầm tím thực sự không thể thiếu trong mỗi vườn lan. Giá bán lan trầm tím tùy thuộc vào kích thước từng giò.",T?ng M?,
47,Sóc trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/soc-trang-1-1.jpg,150000,"Cây trồng chậu nhựa đẹp, rễ đã bám chặt vào chậu và phát triển khỏe mạnh. Hoa dài, trắng muốt hoặc tím, rất đẹp. một chậu có 1 ngọn  ",Thanh Cao,
48,Kiếm đỏ thái,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/kiem/kiem-do-thai-3-1.jpg,140000,"Chậu kiếm đỏ đẹp hàng thái, giá rất hấp dẫn, cây cực khỏe bám đâu cũng sống. Vòi hoa dài, thơm. Giá năm này rất rẻ ví bán theo cốc có nhiều thân.",T�Enh Y�Eu,
49,Trầm blue,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/2017/blue/tram-blue-2-1.jpg,90000,"Bông hoa mang dáng của trầm xưa màu sắc tinh tế và lạ , đặc biệt hoa rất thơm.",20/11,
50,Giả hạc trắng Tuyết Ngọc,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/trang-tuyet-ngoc-1-1.jpg,2500000,"Giả hạc 5 cánh trắng tuyết ngọc hàng rừng. Cánh trắng họng tím, bán kei đã phun rễ, đang trồng cốc rêu giữ ẩm",20/11,
51,Trầm đỏ lai trầm rhodo,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/lai/do-rhodo/tram-do-lai-rhodo-3-1.jpg,320000,"Đây là giống trầm lai mới của đài chưa cho ra mặt bông chính thức, tuy nhiên được lai từ trầm đỏ với trầm rhodo bông đỏ tím, nên xác suất ra bông đỏ tươi rất cao.",Sinh Nh?t,
52,Phi điệp tím kiến,https://hoalanhuyanh.com/userfiles/image/gio-lan/phi-diep-tim/bang-kien/phi-diep-tim-kien-1-1.jpg,300000,"Cây đã ghép được gần năm, hàng phi điệp kiến gia lai, khả năng sẽ ra nhiều mặt bông. Cây đang được ghép bảng dớn phát triển khá tốt. ",T�Enh Y�Eu,
53,Phi điệp ám hòa bình,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/am-hoa-binh/anh-nho-hinh-hoa-phi-diep-am-hoa-binh.jpg,500000,"Phi điệp hòa bình vốn đã nổi tiếng với các bông hoa cánh căng, to, đẹp và hiếm. Bông bình thường đã vậy còn 5ct hoặc cánh ám lại càng hiếm và đẹp hơn nhiều",Gia ?�Enh,
54,Lan brass,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/brass/lan-brass-doi-mau-hinh-nho.jpg,150000,"Bạn muốn có vườn lan hoa quanh năm, không thể thiếu lan brass được đâu. Loại hoa lan này rất dễ tính, phát triển nhanh, dễ có hoa, hoa lạ và thơm.",T�Enh Y�Eu,
55,Cửu bảo tiên trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/giang-huong/cuu-trang/anh-nho-cuu-bao-tien-hoa-trang.jpg,400000,"Đây là loại cửu bảo tiên đột biến hoa trắng được thái nhân giống. Hoa sở hữu vẻ đẹp tinh khôi, hương cực thơm và rất hiếm có",V?n Ph�Eng,
56,Hoàng thảo lông trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/hong-thao-long-trang-1-1.jpg,160000,Các giò hoàng thảo lông trắng được trồng thuần tại vườn nên các bác yên tâm chất lượng. Cách chăm sóc cũng rất đơn giản như sau,S? Ki?n,
57,Trầm semi x blue,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/tram-lai-phi-diep/tram-semixblue-1-1.jpg,180000,"Bán trầm semi x blue, hoa như hình. Cây đang được trồng trong chậu nhựa, thân to mập mạp, phát triển khỏe mạnh",Sinh Nh?t,
58,Thiên nga vàng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/thien-nga-vang-1-1.jpg,250000,"Thiên nga hoa vàng rất đẹp, ra hoa nhiều lần trong năm, rất dễ chăm sóc và ra hoa. Cây được trồng thuần đã lâu tại vườn. [ĐANG NỤ] ",20/11,
59,Ngọc điểm lai bankok sunset (cula bankok),https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/lai-bankok/ngoc-diem-lai-1-2.jpg,300000,"Bán lan ngọc điểm lai bankok sunset (cula bankok). Hàng thuần 1,5 năm tuổi. Giá bán 300k/chậu. Mặt hoa rất đẹp",Gia ?�Enh,
60,Ngọc trai đen Black pear,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/thien-nga/thien-nga-den-hinh-hoa-1-1.jpg,400000,"Ngọc trai đen Black pear, hay được gọi nhiều với tên phong lan thiên nga hoa màu đen huyền bí và rất đặc biệt,hoa buông thong, cánh hoa cứng. Có hương thơm dịu, ngọt được đánh giá là mặt hoa đẹp và độc đáo, chúng cũng rất nổi bật so với các loại hoa lan khác bởi màu đen tuyền mà ít loại lan nào có được",20/11,
61,Ngọc điểm Thái màu hồng cánh sen,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/thai-mau-canh-sen/ngoc-diem-thai-bam-lua-canh-sen-3-1.jpg,320000,"Đai châu - Ngọc điểm Thái bám gỗ, đang phát triển tốt. Màu hồng cánh sen, cánh sen catoon, như hình thực tế dưới đây. Bán tại Hà Nội, chuyển hàng toàn quốc..",20/11,
62,Hạc vỹ bám gỗ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/hac-vy/hac-vy-400k-1-2.jpg,400000,"Giò lan hạc vỹ bám gỗ, hàng thuần,đang ra nhiều rễ và phát triển mầm mon rất nhiều. Hạc vỹ loại lan dễ trồng, dễ ra hoa.",V?n Ph�Eng,
63,Hồng ngọc B,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/gia-hac/hong-ngoc-b-1-1.jpg,260000,"Bán hồng ngọc B, 1 chậu 1 ngọn dài khoảng 20cm, bảo hành mặt hoa như hình. Cây phát triển khỏe mạnh, đã trồng một năm tại vườn",Khai Tr??ng,
64,Dendro hoa tết,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/vanda-dendro/dendro-1-1.jpg,150000,"Em bắt đầu bán dendro hoa tết, cây to đùng chăm sóc rất dễ dàng, nên chúng là một trong các loại lan được trồng phổ biến nhất",Thanh Cao,
65,Hồng thiên cung thuần,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/hong-thien-cung-4-1.jpg,40000,Hồng thiên cung thuần tại hà nội rất khỏe . cây đang phát triển giò 5 đến 10 ngọn giá 40k ngọn,Thanh Cao,
66,"Lan đai châu thái, 4 đến 6 lá",https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/dai-chau-thai/dai-chau-160k-1.jpg,160000,"Lan đai châu thái đã ghép gỗ, cây đẹp, giá bán 160k/ cây. Bán tại Hà nội, có từ 4 đến 6 lá.",T�Enh Y�Eu,
67,Hoa lan trầm trắng lai vôi,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/lai/tram-trang-lai-voi-hoa-1-1.jpg,200000,,Gia ?�Enh,
68,Lan cattleya bông cam,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/cat-lan-bong-cam-2-1.jpg,250000,"Bán chậu lan cattleya bông cam, hoa to, mặt hoa và cây bán thực tế như hình.,Cây khỏe mạnh, lá dầy cứng, màu hoa rất đậm",?am M�E Huy?n B�E,
69,Đai châu bò sữa,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/xuan/dai-chau-bo-sua-1-1.jpg,150000,"Lan đai châu bò sữa  - Màu sắc khác biệt, lạ mắt, hoa xuân, điểm nhấn tuyệt vời cho vườn lan nhà bạn. ",?am M�E Huy?n B�E,
70,"Đai châu tết, loại to",https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/xuan/dai-chau-tet-2-1.jpg,450000,"Cây đã ghép gỗ, rễ bám chặt, đang sống rất khỏe. Nhiều màu hoa đẹp, như cam, đỏ, tím hồng cánh sen, phục vụ cho các bác chơi tết. Chiều cao tùy từng cặp lá nhưng chiều ngang đạt được từ 40cm.",20/11,
71,Hồ điệp thơm,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/ho-diep-thom-1-1.jpg,180000,"Có bông nhỏ như hồ điệp rừng nhưng có mùi thơm nồng quyến rũ , khác với các loại hồ điệp bông to, vì lẽ đó chúng hay được gọi là hồ điệp thơm.",20/11,
72,Trầm gieo hạt,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/2017/gieo-hat/hinh-hoa-tram-gieo-hat-1.jpg,300000,"Hàng gieo hạt nên có nhiều mặt bông, nhưng cơ bản có 2 loại bông đỏ đậm và hồng có viền cánh đậm. Thân cây mập, đang phát triển cây con",Sinh Nh?t,
73,Phi diệp tím hòa bình hàng đẹp,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/pdt-hoabinh-dep/phi-diep-tim-hoa-binh-dep-4-2.jpg,350000,"Phi điệp tím hòa (lan dã hạc) rất đẹp, thân ra hoa dài trên 1m. Đang phát triển mạnh, rất khỏe, giá bán hợp lí",?am M�E Huy?n B�E,
74,Hạc vỹ ghép gỗ 450k,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/hac-vy/hac-vy-450k-1.jpg,450000,,Trang Tr?ng,
75,Giả hạc di linh trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/dilinh-trang/dilinh-trang-1.jpg,3000000,"Giả hạc di linh trắng, bán như hình dưới đây giá 3 triệu , cây kei năm nhất. #1 trong những loại giả hạc trắng rừng được yêu thích nhất. ",Gia ?�Enh,
76,Rồng đỏ lá biên,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/rong-do/hoa-tram-rong-do-1-1.jpg,380000,"Cây rất đẹp, thân mập, là loại lan có hoa rất đẹp của đài loan.Rồng đỏ lá biên độc đáo với vệt vàng cánh lá.",T�Enh Y�Eu,
77,Đai châu cam lửa,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/xuan/dai-chau-cam-lua-1-1.jpg,200000,"Màu cam lửa rực rỡ của đai châu, chắc chắn sẽ đem đến không khí mùa xuân rộn ràng đầy màu sắc cho vườn lan nhà các bác",Trang Tr?ng,
